ProduktNR,Kontotyp,Art,Year,Amount,ProduktbereichNR,ProduktgruppeNR,Produkt,Produktbereich,Produktgruppe
1101010,Ertrag,Ergebnis,2009,2739226.26,11,1101,Rat und Gremien / Fraktionen,Innere Verwaltung,Politische Gremien
1101010,Aufwendung,Ergebnis,2009,2954238.51,11,1101,Rat und Gremien / Fraktionen,Innere Verwaltung,Politische Gremien
1101010,Verlust,Ergebnis,2009,215012.25,11,1101,Rat und Gremien / Fraktionen,Innere Verwaltung,Politische Gremien
1102010,Ertrag,Ergebnis,2009,633825.73,11,1102,Bezirksvertretungen und Ehrenamt,Innere Verwaltung,Bezirksvertretungen
1102010,Aufwendung,Ergebnis,2009,686577.75,11,1102,Bezirksvertretungen und Ehrenamt,Innere Verwaltung,Bezirksvertretungen
1102010,Verlust,Ergebnis,2009,52752.02,11,1102,Bezirksvertretungen und Ehrenamt,Innere Verwaltung,Bezirksvertretungen
1103010,Ertrag,Ergebnis,2009,215291.26,11,1103,Bürgerangelegenheiten und Bürgerservice,Innere Verwaltung,Verwaltungsführung
1103010,Aufwendung,Ergebnis,2009,231762.07,11,1103,Bürgerangelegenheiten und Bürgerservice,Innere Verwaltung,Verwaltungsführung
1103010,Verlust,Ergebnis,2009,16470.81,11,1103,Bürgerangelegenheiten und Bürgerservice,Innere Verwaltung,Verwaltungsführung
1103020,Ertrag,Ergebnis,2009,1046191.90,11,1103,Verwaltungsleitung / Steuerungsunterst.,Innere Verwaltung,Verwaltungsführung
1103020,Aufwendung,Ergebnis,2009,1128861.15,11,1103,Verwaltungsleitung / Steuerungsunterst.,Innere Verwaltung,Verwaltungsführung
1103020,Verlust,Ergebnis,2009,82669.25,11,1103,Verwaltungsleitung / Steuerungsunterst.,Innere Verwaltung,Verwaltungsführung
1104010,Ertrag,Ergebnis,2009,600241.51,11,1104,(entfallen in 2013) GBL und Steuerungsunterstützung ,Innere Verwaltung,(entfallen in 2013) Geschäftsbereichsleitung GB 1.1 
1104010,Aufwendung,Ergebnis,2009,646315.57,11,1104,(entfallen in 2013) GBL und Steuerungsunterstützung ,Innere Verwaltung,(entfallen in 2013) Geschäftsbereichsleitung GB 1.1 
1104010,Verlust,Ergebnis,2009,46074.06,11,1104,(entfallen in 2013) GBL und Steuerungsunterstützung ,Innere Verwaltung,(entfallen in 2013) Geschäftsbereichsleitung GB 1.1 
1105010,Ertrag,Ergebnis,2009,578336.13,11,1105,GBL und Steuerungsunterstützung GB1,Innere Verwaltung,Geschäftsbereichsleitung GB 1
1105010,Aufwendung,Ergebnis,2009,624485.12,11,1105,GBL und Steuerungsunterstützung GB1,Innere Verwaltung,Geschäftsbereichsleitung GB 1
1105010,Verlust,Ergebnis,2009,46148.99,11,1105,GBL und Steuerungsunterstützung GB1,Innere Verwaltung,Geschäftsbereichsleitung GB 1
1105020,Ertrag,Ergebnis,2009,203053.85,11,1105,(entfallen in 2013) Europabüro / EU-Strukturförderung ,Innere Verwaltung,Geschäftsbereichsleitung GB 1
